Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-043T04:54:45.8811Z [Feb 12] ( 23.276,  89.709)        519           119       2       7     6329
2018-043T04:54:59.8272Z [Feb 12] ( 23.706,  90.045)        128             0       1       7     6329
2018-045T12:56:25.5578Z [Feb 14] ( 26.979,  88.676)        302           173       8      19     6364
2018-045T12:56:27.1175Z [Feb 14] ( 26.990,  88.309)        239           303      11      18     6364
2018-045T12:56:44.6666Z [Feb 14] ( 26.984,  88.335)         24            32       2       2     6364
2018-045T12:56:52.6397Z [Feb 14] ( 26.995,  88.629)        254           141       6      13     6364
2018-045T12:56:53.5286Z [Feb 14] ( 26.988,  90.522)        364           107       6      15     6364
2018-045T12:56:55.2401Z [Feb 14] ( 26.951,  90.481)        254           164       2       9     6364
2018-045T12:56:57.8792Z [Feb 14] ( 26.960,  88.696)        169           105       7      12     6364
2018-045T12:57:08.8014Z [Feb 14] ( 26.940,  88.781)       2696           514      37     129     6364
2018-045T12:57:13.5238Z [Feb 14] ( 26.965,  88.686)        552           261      10      27     6364
2018-045T12:57:17.8066Z [Feb 14] ( 26.920,  90.508)        719           220      11      33     6364
2018-045T12:57:19.4015Z [Feb 14] ( 26.948,  90.570)         44             0       1       2     6364
2018-045T12:57:19.9351Z [Feb 14] ( 26.992,  88.552)        863           306      18      49     6364
2018-045T12:57:24.8124Z [Feb 14] ( 26.861,  91.238)       5220           760      48     172     6364
2018-045T12:57:26.8660Z [Feb 14] ( 26.992,  88.481)       3853           811      61     186     6364
2018-045T12:57:26.9158Z [Feb 14] ( 26.984,  88.334)       3101           704      46     160     6364
2018-045T12:57:27.8478Z [Feb 14] ( 26.922,  90.503)        171           436      11      14     6364
2018-045T12:57:30.9248Z [Feb 14] ( 26.145,  89.931)       1661           361      24      71     6364
2018-045T12:57:31.7106Z [Feb 14] ( 26.929,  90.526)         24             0       1       1     6364
2018-045T12:57:32.4271Z [Feb 14] ( 26.997,  88.595)         16             0       1       1     6364
2018-045T12:57:35.4426Z [Feb 14] ( 26.945,  88.684)       1709           291      27      73     6364
2018-045T12:57:35.7059Z [Feb 14] ( 26.935,  90.504)         61            30       3       5     6364
2018-045T12:57:37.2526Z [Feb 14] ( 26.923,  90.582)       1331           272      22      66     6364
2018-045T12:57:37.6200Z [Feb 14] ( 26.968,  88.535)        514           139      16      28     6364
2018-045T12:57:39.9796Z [Feb 14] ( 26.922,  90.494)        359           148       6      17     6364
2018-045T12:57:43.8378Z [Feb 14] ( 26.985,  88.597)        246           189      12      17     6364
2018-045T12:57:45.0734Z [Feb 14] ( 26.915,  90.514)        922           412      18      48     6364
2018-045T12:57:45.1845Z [Feb 14] ( 26.873,  90.475)       1463           399      15      61     6364
2018-045T12:57:45.1955Z [Feb 14] ( 26.843,  90.460)        393           100       4      24     6364
2018-045T12:57:46.8085Z [Feb 14] ( 26.939,  88.809)       1124           340      12      48     6364
2018-045T12:57:46.8783Z [Feb 14] ( 26.859,  88.858)         35           243       2       3     6364
2018-045T12:57:48.5592Z [Feb 14] ( 26.961,  90.554)         84            10       3       7     6364
2018-045T12:57:49.8969Z [Feb 14] ( 26.962,  88.410)        998           257      23      53     6364
2018-045T12:57:53.2792Z [Feb 14] ( 26.910,  90.525)        719           477      20      41     6364
2018-045T12:57:54.8686Z [Feb 14] ( 26.992,  88.634)        222           236       8      15     6364
2018-045T12:58:00.6966Z [Feb 14] ( 26.902,  90.519)        292           279       7      15     6364
2018-045T12:58:01.6673Z [Feb 14] ( 26.936,  90.621)        304           241       9      21     6364
2018-045T12:58:03.8923Z [Feb 14] ( 26.978,  90.518)        183           104       6       9     6364
2018-045T12:58:13.5346Z [Feb 14] ( 26.943,  90.529)        493           288      12      25     6364
2018-045T12:58:19.4073Z [Feb 14] ( 26.879,  91.300)        393           175      10      22     6364
2018-056T23:08:20.1123Z [Feb 25] ( 21.735,  87.638)       1375           442      26      75     6542
2018-056T23:08:24.8524Z [Feb 25] ( 21.614,  87.524)        216           243       6      16     6542
2018-056T23:08:35.9158Z [Feb 25] ( 21.620,  87.520)         71           239       6       7     6542
2018-056T23:08:37.1921Z [Feb 25] ( 21.671,  87.658)         59            98       4       5     6542
2018-056T23:08:45.5642Z [Feb 25] ( 21.783,  87.790)        319           200       7      21     6542
2018-056T23:08:46.2446Z [Feb 25] ( 21.840,  88.200)       8131           820     106     362     6542
2018-056T23:08:46.6064Z [Feb 25] ( 21.918,  88.171)       6479           590      73     256     6542
2018-056T23:08:53.7680Z [Feb 25] ( 23.008,  90.797)        329           193       8      15     6542
2018-056T23:08:56.3709Z [Feb 25] ( 22.794,  90.744)        180            48       2      12     6542
2018-056T23:08:58.6000Z [Feb 25] ( 22.908,  90.789)       1568           177      14      70     6542
2018-056T23:08:59.8231Z [Feb 25] ( 23.862,  90.041)         53             3       3       5     6542
2018-056T23:09:02.7044Z [Feb 25] ( 23.600,  89.872)        604           214      11      30     6542
2018-056T23:09:03.9883Z [Feb 25] ( 23.610,  90.498)         69            14       4       6     6542
2018-056T23:09:04.6722Z [Feb 25] ( 23.948,  90.065)        156            80       4      11     6542
2018-056T23:09:08.2584Z [Feb 25] ( 22.971,  90.859)        158           245       6      13     6542
2018-056T23:09:08.5041Z [Feb 25] ( 23.853,  91.172)         37           137       2       3     6542
2018-056T23:09:09.2272Z [Feb 25] ( 23.702,  89.985)        531           186       9      35     6542
2018-056T23:09:10.0041Z [Feb 25] ( 23.556,  89.895)        278           263      13      20     6542
